esd,esd_name,district,type,response
101,Northeast WA Educational Service District,Ritzville,School District,false
101,Northeast WA Educational Service District,Riverside,School District,false
121,Puget Sound Educational Service District,Riverview,School District,true
113,Capital Region Educational Service District,Rochester,School District,false
112,Educational Service Agency,Roosevelt,School District,false
101,Northeast WA Educational Service District,Rosalia,School District,false
105,Educational Service District,Royal,School District,false
189,Northwest Educational Service District,San Juan Island,School District,false
113,Capital Region Educational Service District,Satsop,School District,false
121,Puget Sound Educational Service District,Seattle,Public Schools,true
189,Northwest Educational Service District,Sedro-Woolley,School District,true
105,Educational Service District,Selah,School District,true
101,Northeast WA Educational Service District,Selkirk,School District,false
114,Olympic Educational Service District,Sequim,School District,false
189,Northwest Educational Service District,Shaw Island,School District,false
113,Capital Region Educational Service District,Shelton,School District,false
121,Puget Sound Educational Service District,Shoreline,School District,false
112,Educational Service Agency,Skamania,School District,false
121,Puget Sound Educational Service District,Skykomish,School District,false
189,Northwest Educational Service District,Snohomish,School District,false
121,Puget Sound Educational Service District,Snoqualmie Valley,School District,true
171,North Central Educational Service District,Soap Lake,School District,false
113,Capital Region Educational Service District,South Bend,School District,false
114,Olympic Educational Service District,South Kitsap,School District,true
189,Northwest Educational Service District,South Whidbey,School District,false
113,Capital Region Educational Service District,Southside,School District,false
101,Northeast WA Educational Service District,Spokane,Public Schools,false
101,Northeast WA Educational Service District,Sprague,School District,false
101,Northeast WA Educational Service District,St. John,School District,false
189,Northwest Educational Service District,Stanwood-Camano,School District,true
123,Educational Service District,Star,School District,false
123,Educational Service District,Starbuck,School District,false
171,North Central Educational Service District,Stehekin,School District,false
121,Puget Sound Educational Service District,Steilacoom,School District,false
101,Northeast WA Educational Service District,Steptoe,School District,false
112,Educational Service Agency,Stevenson-Carson,School District,false
189,Northwest Educational Service District,Sultan,School District,true
101,Northeast WA Educational Service District,Summit Valley,School District,false
121,Puget Sound Educational Service District,Sumner-Bonney Lake,School District,true
105,Educational Service District,Sunnyside,School District,false
121,Puget Sound Educational Service District,Tacoma,School District,true
113,Capital Region Educational Service District,Taholah,School District,false
